,amt,category,merchant,merch_long,merch_lat,state,gender,new_unix,is_fraud
712424,8.52,1,315,-99.585226,40.130361,29,0,1572526519,0
475059,7.28,12,484,-105.91177,35.77596,32,0,1564277936,0
1185873,81.43,6,413,-75.213126,45.173828,34,0,1589130161,0
117136,6.04,5,14,-93.851004,46.658807,23,0,1551960320,0
735827,16.51,0,0,-97.466166,30.794002000000003,43,0,1573400360,0
854502,83.41,2,407,-90.590641,42.46835,48,0,1576471862,0
317773,52.77,2,47,-95.530288,29.296903000000004,43,0,1559445086,0
1245084,74.23,5,248,-93.539652,32.892687,2,0,1591106168,0
240498,1.69,11,193,-88.420695,38.34129,14,0,1556622845,0
958682,190.62,1,283,-75.12826,39.55173,31,0,1579522574,0
92325,29.24,10,54,-90.688835,31.24935,18,1,1551008593,0
1206814,6.31,9,414,-94.522448,32.413464000000005,43,0,1589877260,0
239301,9.58,1,485,-77.08352,39.732621,38,0,1556565447,0
871478,6.73,12,48,-78.81026,39.996892,38,0,1576854702,0
885742,99.21,3,88,-79.58566,42.731304,34,0,1577076533,0
780730,9.55,11,174,-87.71200999999999,44.665062,48,1,1575114530,0
204058,139.1,5,507,-88.055018,43.686304,48,1,1555262320,0
104941,90.07,4,309,-119.386226,45.989237,37,1,1551513063,0
411825,8.93,1,165,-117.890424,33.018669,4,1,1562353225,0
830474,30.24,7,660,-86.990528,34.433438,1,1,1576010501,0
670927,1.4,8,688,-73.275549,41.383235,6,0,1570947416,0
1208588,132.79,9,513,-87.57033,40.135374,14,0,1589922877,0
953087,1.44,8,300,-84.66770600000001,40.151018,35,0,1579302563,0
294591,78.71,2,360,-83.156019,42.849902,22,0,1558744816,0
305277,27.1,6,420,-105.516009,35.468815,32,1,1558996149,0
875923,12.42,6,69,-122.744248,46.216339000000005,37,0,1576938243,0
395674,67.83,1,657,-91.54954,29.932191,18,1,1561842727,0
944842,8.89,11,175,-104.428216,43.300105,50,0,1578853757,0
127939,74.09,6,420,-101.573994,43.44654,41,1,1552318833,0
811406,86.73,3,539,-82.532206,39.170922,49,1,1575704847,0
1133837,20.34,7,78,-97.819544,30.046266,43,1,1587127022,0
540192,5.39,9,93,-121.630763,38.639889,4,0,1566218123,0
1162438,5.51,1,599,-82.29371400000001,34.457181,40,0,1588183016,0
27912,85.44,4,94,-81.513204,25.837128,9,0,1547698569,0
690232,8.76,8,65,-82.70628,37.873579,49,0,1571648110,0
